bookmark_id,bookmark_date,bookmark_title,bookmark_link,bookmark_image,bookmark_note
128,2020-07-29 15:08:44,"When I Couldn't Be With My Sister After Childbirth, We Practiced Zuo Yue Zi From Afar",https://www.bonappetit.com/story/zuo-yue-zi,,
127,2020-07-27 21:54:56,20 questions with Brit Marling and Gregory Crewdson,https://www.youtube.com/watch?v=vVR1b_d5ce8,,
126,2020-07-24 16:56:44,10 principles for design in a crisis,https://blog.louisedowne.com/2020/03/31/10-principles-for-design-in-a-crisis/,,
125,2020-07-13 17:39:08,David Zilber on Fermentation as a Commitment to Your Future,https://at-a-distance.simplecast.com/episodes/david-zilber-fermentation-as-a-commitment-to-your-future,,
124,2020-07-11 20:12:59,Jia Tolentino on Practicing the Discipline of Hope,https://www.interviewmagazine.com/culture/ask-a-sane-person-jia-tolentino-book-2020-hope,,
123,2020-07-01 17:39:57,Michael Blume - I Wanna Know @ Paste Studio NYC,https://www.youtube.com/watch?v=tyQ32NA47kQ,,
122,2020-06-25 14:20:32,LOW←TECH MAGAZINE,https://solar.lowtechmagazine.com/,,
121,2020-06-24 22:39:05,ON THE MOVE - Dance Short Film,https://www.youtube.com/watch?v=O1EuOUnjUwE,,
120,2020-06-23 12:25:09,Language alters our experience of time,https://theconversation.com/language-alters-our-experience-of-time-76761,,
119,2020-06-22 22:15:44,My Dad Created An ‘Ethical Will.’,https://www.huffpost.com/entry/ethical-will-legacy-letter-why-you-want-one_n_5eeb7a09c5b6c8594c7f2d03,,
118,2020-06-18 21:28:39,S Y N C | A Modern Love Story,https://www.youtube.com/watch?v=w2oTPadfDM4,,
117,2020-06-17 17:55:45,Tim Ferriss | Elizabeth Gilbert’s Creative Path,https://tim.blog/2020/05/08/elizabeth-gilbert/,,
116,2020-06-17 11:11:00,Think of mental disorders as the mind’s ‘sticky tendencies’,https://aeon.co/ideas/think-of-mental-disorders-as-the-minds-sticky-tendencies,,
115,2020-06-16 12:11:42,"My three decades alone, basking in the company of a mountain",https://psyche.co/ideas/my-three-decades-alone-basking-in-the-company-of-a-mountain,,
114,2020-06-09 22:19:24,Oprah | Where Do We Go From Here? (Part 1),https://www.youtube.com/watch?v=09ysfL2SlHo,,
113,2020-06-07 23:45:02,Phoebe Bridgers - Motion Sickness (Live on KEXP),https://www.youtube.com/watch?v=EgQQkQrPJ2I,,
112,2020-06-03 12:41:16,Jessie Ware - Save A Kiss,https://www.youtube.com/watch?v=cLIESvLSDKA,,
111,2020-05-24 15:56:57,On Being | Jacqueline Novogratz,https://onbeing.org/programs/jacqueline-novogratz-towards-a-moral-revolution/,,
110,2020-05-11 16:01:24,Lessons from Jeju | Freediving and Motherhood with Kimi Werner,https://www.youtube.com/watch?v=r4jLplyxXqI,,
109,2020-05-07 21:08:41,"Kevin Kelly | ""68 Bits of Unsolicited Advice""",https://kk.org/thetechnium/68-bits-of-unsolicited-advice/,,
108,2020-05-05 11:30:06,"John Gardner | ""Personal Renewal""",https://www.pbs.org/johngardner/sections/writings_speech_1.html,,
107,2020-05-04 16:31:47,Atul Gawande | Want to get great at something? Get a coach (TED),https://www.ted.com/talks/atul_gawande_want_to_get_great_at_something_get_a_coach,,
106,2020-04-30 18:15:34,"Haim - ""I Know Alone"" | Live on Stephen Colbert",https://www.youtube.com/watch?v=2ZckDUErvUs,,
105,2020-04-29 17:54:08,Nick Santos | Why ContentEditable is Terrible,https://medium.engineering/why-contenteditable-is-terrible-122d8a40e480,,
104,2020-04-10 17:03:48,busterbenson / public,https://github.com/busterbenson/public,,
103,2020-04-07 15:59:21,Song Exploder | Ep. 179 Soccer Mommy,http://songexploder.net/soccer-mommy,,
102,2020-03-11 17:08:28,Haim – The Steps,https://www.youtube.com/watch?v=J2O_xa8cems,,
101,2020-03-10 14:05:32,Space 10 | Life Without Energy,https://space10.com/project/life-without-energy-needs-dreams-and-aspirations/,,
100,2020-03-01 21:54:31,Refs - Stories (Live Session),https://www.youtube.com/watch?v=pG7SyuDtxBc,,
99,2020-02-28 13:18:56,Figuring by Maria Popova,https://www.brainpickings.org/2018/11/01/figuring/,,
98,2020-02-27 22:54:49,Emily King at Paste Studio NYC,https://www.youtube.com/watch?v=a14duOSsCpE,,
97,2020-02-25 19:27:37,Mark Hurrell | Prospects,https://mhurrell.co.uk/prospects/,,
